ts,symbol,tf,action,price,size,fee,pnl,reasons,reason
2018-02-27 11:00:00+00:00,BTCUSD_1H,1H,rejected,117814.16,0.0,0.0,0.0,,exposure_limit
2018-02-27 12:00:00+00:00,BTCUSD_1H,1H,rejected,118314.02,0.0,0.0,0.0,,exposure_limit
2018-02-27 13:00:00+00:00,BTCUSD_1H,1H,rejected,118285.99,0.0,0.0,0.0,,exposure_limit
2018-02-27 14:00:00+00:00,BTCUSD_1H,1H,rejected,118015.96,0.0,0.0,0.0,,exposure_limit
2018-02-27 15:00:00+00:00,BTCUSD_1H,1H,rejected,118335.59,0.0,0.0,0.0,,exposure_limit
2018-02-27 16:00:00+00:00,BTCUSD_1H,1H,rejected,118513.61,0.0,0.0,0.0,,exposure_limit
2018-02-27 17:00:00+00:00,BTCUSD_1H,1H,rejected,118445.19,0.0,0.0,0.0,,exposure_limit
2018-02-27 18:00:00+00:00,BTCUSD_1H,1H,rejected,118786.19,0.0,0.0,0.0,,exposure_limit
2018-02-27 19:00:00+00:00,BTCUSD_1H,1H,rejected,118803.04,0.0,0.0,0.0,,exposure_limit
2018-02-27 20:00:00+00:00,BTCUSD_1H,1H,rejected,118669.23,0.0,0.0,0.0,,exposure_limit
2018-02-27 21:00:00+00:00,BTCUSD_1H,1H,rejected,118529.48,0.0,0.0,0.0,,exposure_limit
2018-02-27 22:00:00+00:00,BTCUSD_1H,1H,rejected,118548.15,0.0,0.0,0.0,,exposure_limit
2018-02-27 23:00:00+00:00,BTCUSD_1H,1H,rejected,118675.53,0.0,0.0,0.0,,exposure_limit
2018-02-28 00:00:00+00:00,BTCUSD_1H,1H,rejected,118331.38,0.0,0.0,0.0,,exposure_limit
2018-02-28 01:00:00+00:00,BTCUSD_1H,1H,rejected,118724.04,0.0,0.0,0.0,,exposure_limit
2018-02-28 02:00:00+00:00,BTCUSD_1H,1H,rejected,119091.51,0.0,0.0,0.0,,exposure_limit
2018-02-28 03:00:00+00:00,BTCUSD_1H,1H,rejected,119309.37,0.0,0.0,0.0,,exposure_limit
2018-02-28 04:00:00+00:00,BTCUSD_1H,1H,rejected,119153.98,0.0,0.0,0.0,,exposure_limit
2018-02-28 05:00:00+00:00,BTCUSD_1H,1H,rejected,119999.35,0.0,0.0,0.0,,exposure_limit
2018-02-28 06:00:00+00:00,BTCUSD_1H,1H,rejected,121876.03,0.0,0.0,0.0,,exposure_limit
2018-02-28 07:00:00+00:00,BTCUSD_1H,1H,rejected,121709.49,0.0,0.0,0.0,,exposure_limit
2018-02-28 08:00:00+00:00,BTCUSD_1H,1H,rejected,122072.54,0.0,0.0,0.0,,exposure_limit
2018-02-28 09:00:00+00:00,BTCUSD_1H,1H,rejected,122036.11,0.0,0.0,0.0,,exposure_limit
2018-02-28 10:00:00+00:00,BTCUSD_1H,1H,rejected,122292.12,0.0,0.0,0.0,,exposure_limit
2018-02-28 11:00:00+00:00,BTCUSD_1H,1H,rejected,121522.07,0.0,0.0,0.0,,exposure_limit
2018-02-28 12:00:00+00:00,BTCUSD_1H,1H,rejected,121662.14,0.0,0.0,0.0,,exposure_limit
2018-02-28 13:00:00+00:00,BTCUSD_1H,1H,rejected,121406.25,0.0,0.0,0.0,,exposure_limit
2018-02-28 14:00:00+00:00,BTCUSD_1H,1H,rejected,121150.11,0.0,0.0,0.0,,exposure_limit
2018-02-28 15:00:00+00:00,BTCUSD_1H,1H,rejected,120525.0,0.0,0.0,0.0,,exposure_limit
2018-02-28 16:00:00+00:00,BTCUSD_1H,1H,rejected,119616.96,0.0,0.0,0.0,,exposure_limit
2018-02-28 17:00:00+00:00,BTCUSD_1H,1H,rejected,119976.39,0.0,0.0,0.0,,exposure_limit
2018-02-28 18:00:00+00:00,BTCUSD_1H,1H,rejected,120222.41,0.0,0.0,0.0,,exposure_limit
2018-02-28 19:00:00+00:00,BTCUSD_1H,1H,rejected,120298.37,0.0,0.0,0.0,,exposure_limit
2018-02-28 20:00:00+00:00,BTCUSD_1H,1H,rejected,119940.01,0.0,0.0,0.0,,exposure_limit
2018-02-28 21:00:00+00:00,BTCUSD_1H,1H,rejected,119493.62,0.0,0.0,0.0,,exposure_limit
2018-02-28 22:00:00+00:00,BTCUSD_1H,1H,rejected,119773.04,0.0,0.0,0.0,,exposure_limit
2018-02-28 23:00:00+00:00,BTCUSD_1H,1H,rejected,119068.36,0.0,0.0,0.0,,exposure_limit
2018-03-01 00:00:00+00:00,BTCUSD_1H,1H,rejected,118833.55,0.0,0.0,0.0,,exposure_limit
2018-03-01 01:00:00+00:00,BTCUSD_1H,1H,rejected,118726.85,0.0,0.0,0.0,,exposure_limit
2018-03-01 02:00:00+00:00,BTCUSD_1H,1H,rejected,118910.87,0.0,0.0,0.0,,exposure_limit
2018-03-01 03:00:00+00:00,BTCUSD_1H,1H,rejected,118701.84,0.0,0.0,0.0,,exposure_limit
2018-03-01 04:00:00+00:00,BTCUSD_1H,1H,rejected,118967.08,0.0,0.0,0.0,,exposure_limit
2018-03-01 05:00:00+00:00,BTCUSD_1H,1H,rejected,118989.34,0.0,0.0,0.0,,exposure_limit
2018-03-01 06:00:00+00:00,BTCUSD_1H,1H,rejected,119065.86,0.0,0.0,0.0,,exposure_limit
2018-03-01 07:00:00+00:00,BTCUSD_1H,1H,rejected,118857.75,0.0,0.0,0.0,,exposure_limit
2018-03-01 08:00:00+00:00,BTCUSD_1H,1H,rejected,119067.05,0.0,0.0,0.0,,exposure_limit
2018-03-01 09:00:00+00:00,BTCUSD_1H,1H,rejected,118828.04,0.0,0.0,0.0,,exposure_limit
2018-03-01 10:00:00+00:00,BTCUSD_1H,1H,rejected,118843.65,0.0,0.0,0.0,,exposure_limit
2018-03-01 11:00:00+00:00,BTCUSD_1H,1H,rejected,118993.98,0.0,0.0,0.0,,exposure_limit
2018-03-01 12:00:00+00:00,BTCUSD_1H,1H,rejected,118817.52,0.0,0.0,0.0,,exposure_limit
2018-03-01 13:00:00+00:00,BTCUSD_1H,1H,rejected,118413.72,0.0,0.0,0.0,,exposure_limit
2018-03-01 14:00:00+00:00,BTCUSD_1H,1H,rejected,118449.55,0.0,0.0,0.0,,exposure_limit
2018-03-01 15:00:00+00:00,BTCUSD_1H,1H,rejected,118502.05,0.0,0.0,0.0,,exposure_limit
2018-03-01 16:00:00+00:00,BTCUSD_1H,1H,rejected,119266.8,0.0,0.0,0.0,,exposure_limit
2018-03-01 17:00:00+00:00,BTCUSD_1H,1H,rejected,118851.38,0.0,0.0,0.0,,exposure_limit
2018-03-01 18:00:00+00:00,BTCUSD_1H,1H,rejected,119449.49,0.0,0.0,0.0,,exposure_limit
2018-03-01 19:00:00+00:00,BTCUSD_1H,1H,rejected,119936.26,0.0,0.0,0.0,,exposure_limit
2018-03-01 20:00:00+00:00,BTCUSD_1H,1H,rejected,119655.0,0.0,0.0,0.0,,exposure_limit
2018-03-01 21:00:00+00:00,BTCUSD_1H,1H,rejected,119291.95,0.0,0.0,0.0,,exposure_limit
2018-03-01 22:00:00+00:00,BTCUSD_1H,1H,rejected,119351.26,0.0,0.0,0.0,,exposure_limit
2018-03-01 23:00:00+00:00,BTCUSD_1H,1H,rejected,119655.97,0.0,0.0,0.0,,exposure_limit
2018-03-02 00:00:00+00:00,BTCUSD_1H,1H,rejected,120178.22,0.0,0.0,0.0,,exposure_limit
2018-03-02 01:00:00+00:00,BTCUSD_1H,1H,rejected,119889.41,0.0,0.0,0.0,,exposure_limit
2018-03-02 02:00:00+00:00,BTCUSD_1H,1H,rejected,120090.27,0.0,0.0,0.0,,exposure_limit
2018-03-02 03:00:00+00:00,BTCUSD_1H,1H,rejected,120113.18,0.0,0.0,0.0,,exposure_limit
2018-03-02 04:00:00+00:00,BTCUSD_1H,1H,rejected,119692.9,0.0,0.0,0.0,,exposure_limit
2018-03-02 05:00:00+00:00,BTCUSD_1H,1H,rejected,119456.37,0.0,0.0,0.0,,exposure_limit
2018-03-02 06:00:00+00:00,BTCUSD_1H,1H,rejected,119547.6,0.0,0.0,0.0,,exposure_limit
2018-03-02 07:00:00+00:00,BTCUSD_1H,1H,rejected,119466.17,0.0,0.0,0.0,,exposure_limit
2018-03-02 08:00:00+00:00,BTCUSD_1H,1H,rejected,119333.86,0.0,0.0,0.0,,exposure_limit
2018-03-02 09:00:00+00:00,BTCUSD_1H,1H,rejected,119064.31,0.0,0.0,0.0,,exposure_limit
2018-03-02 10:00:00+00:00,BTCUSD_1H,1H,rejected,119427.15,0.0,0.0,0.0,,exposure_limit
2018-03-02 11:00:00+00:00,BTCUSD_1H,1H,rejected,119579.66,0.0,0.0,0.0,,exposure_limit
2018-03-02 12:00:00+00:00,BTCUSD_1H,1H,rejected,120050.0,0.0,0.0,0.0,,exposure_limit
2018-03-02 13:00:00+00:00,BTCUSD_1H,1H,rejected,120117.96,0.0,0.0,0.0,,exposure_limit
2018-03-02 14:00:00+00:00,BTCUSD_1H,1H,rejected,120487.19,0.0,0.0,0.0,,exposure_limit
2018-03-02 15:00:00+00:00,BTCUSD_1H,1H,rejected,120554.93,0.0,0.0,0.0,,exposure_limit
2018-03-02 16:00:00+00:00,BTCUSD_1H,1H,rejected,120293.23,0.0,0.0,0.0,,exposure_limit
2018-03-02 17:00:00+00:00,BTCUSD_1H,1H,rejected,121789.99,0.0,0.0,0.0,,exposure_limit
2018-03-02 18:00:00+00:00,BTCUSD_1H,1H,rejected,120915.31,0.0,0.0,0.0,,exposure_limit
2018-03-02 19:00:00+00:00,BTCUSD_1H,1H,rejected,120941.15,0.0,0.0,0.0,,exposure_limit
2018-03-02 20:00:00+00:00,BTCUSD_1H,1H,rejected,121451.37,0.0,0.0,0.0,,exposure_limit
2018-03-02 21:00:00+00:00,BTCUSD_1H,1H,rejected,121833.85,0.0,0.0,0.0,,exposure_limit
2018-03-02 22:00:00+00:00,BTCUSD_1H,1H,rejected,121654.57,0.0,0.0,0.0,,exposure_limit
2018-03-02 23:00:00+00:00,BTCUSD_1H,1H,rejected,122804.64,0.0,0.0,0.0,,exposure_limit
2018-03-03 00:00:00+00:00,BTCUSD_1H,1H,rejected,122977.64,0.0,0.0,0.0,,exposure_limit
2018-03-03 01:00:00+00:00,BTCUSD_1H,1H,rejected,122619.9,0.0,0.0,0.0,,exposure_limit
2018-03-03 02:00:00+00:00,BTCUSD_1H,1H,rejected,123012.91,0.0,0.0,0.0,,exposure_limit
2018-03-03 03:00:00+00:00,BTCUSD_1H,1H,rejected,123365.63,0.0,0.0,0.0,,exposure_limit
2018-03-03 04:00:00+00:00,BTCUSD_1H,1H,rejected,123906.29,0.0,0.0,0.0,,exposure_limit
2018-03-03 05:00:00+00:00,BTCUSD_1H,1H,rejected,123385.95,0.0,0.0,0.0,,exposure_limit
2018-03-03 06:00:00+00:00,BTCUSD_1H,1H,rejected,123713.03,0.0,0.0,0.0,,exposure_limit
2018-03-03 07:00:00+00:00,BTCUSD_1H,1H,rejected,123396.86,0.0,0.0,0.0,,exposure_limit
2018-03-03 08:00:00+00:00,BTCUSD_1H,1H,rejected,123044.91,0.0,0.0,0.0,,exposure_limit
2018-03-03 09:00:00+00:00,BTCUSD_1H,1H,rejected,122180.62,0.0,0.0,0.0,,exposure_limit
2018-03-03 10:00:00+00:00,BTCUSD_1H,1H,rejected,121821.19,0.0,0.0,0.0,,exposure_limit
2018-03-03 11:00:00+00:00,BTCUSD_1H,1H,rejected,121773.02,0.0,0.0,0.0,,exposure_limit
2018-03-03 12:00:00+00:00,BTCUSD_1H,1H,rejected,121680.88,0.0,0.0,0.0,,exposure_limit
2018-03-03 13:00:00+00:00,BTCUSD_1H,1H,rejected,121700.18,0.0,0.0,0.0,,exposure_limit
2018-03-03 14:00:00+00:00,BTCUSD_1H,1H,rejected,120985.93,0.0,0.0,0.0,,exposure_limit
2018-03-03 15:00:00+00:00,BTCUSD_1H,1H,rejected,121017.92,0.0,0.0,0.0,,exposure_limit
2018-03-03 16:00:00+00:00,BTCUSD_1H,1H,rejected,118921.99,0.0,0.0,0.0,,exposure_limit
2018-03-03 17:00:00+00:00,BTCUSD_1H,1H,rejected,118471.73,0.0,0.0,0.0,,exposure_limit
2018-03-03 18:00:00+00:00,BTCUSD_1H,1H,rejected,118871.3,0.0,0.0,0.0,,exposure_limit
2018-03-03 19:00:00+00:00,BTCUSD_1H,1H,rejected,118298.79,0.0,0.0,0.0,,exposure_limit
2018-03-03 20:00:00+00:00,BTCUSD_1H,1H,rejected,117912.28,0.0,0.0,0.0,,exposure_limit
2018-03-03 21:00:00+00:00,BTCUSD_1H,1H,rejected,117968.85,0.0,0.0,0.0,,exposure_limit
2018-03-03 22:00:00+00:00,BTCUSD_1H,1H,rejected,118155.76,0.0,0.0,0.0,,exposure_limit
2018-03-03 23:00:00+00:00,BTCUSD_1H,1H,rejected,117997.18,0.0,0.0,0.0,,exposure_limit
2018-03-04 00:00:00+00:00,BTCUSD_1H,1H,rejected,117948.46,0.0,0.0,0.0,,exposure_limit
2018-03-04 01:00:00+00:00,BTCUSD_1H,1H,rejected,117987.9,0.0,0.0,0.0,,exposure_limit
2018-03-04 02:00:00+00:00,BTCUSD_1H,1H,rejected,118374.73,0.0,0.0,0.0,,exposure_limit
2018-03-04 03:00:00+00:00,BTCUSD_1H,1H,rejected,118389.79,0.0,0.0,0.0,,exposure_limit
2018-03-04 04:00:00+00:00,BTCUSD_1H,1H,rejected,118286.32,0.0,0.0,0.0,,exposure_limit
2018-03-04 05:00:00+00:00,BTCUSD_1H,1H,rejected,118780.68,0.0,0.0,0.0,,exposure_limit
2018-03-04 06:00:00+00:00,BTCUSD_1H,1H,rejected,118814.84,0.0,0.0,0.0,,exposure_limit
2018-03-04 07:00:00+00:00,BTCUSD_1H,1H,rejected,119091.68,0.0,0.0,0.0,,exposure_limit
2018-03-04 08:00:00+00:00,BTCUSD_1H,1H,rejected,118945.68,0.0,0.0,0.0,,exposure_limit
2018-03-04 09:00:00+00:00,BTCUSD_1H,1H,rejected,119078.03,0.0,0.0,0.0,,exposure_limit
2018-03-04 10:00:00+00:00,BTCUSD_1H,1H,rejected,119188.75,0.0,0.0,0.0,,exposure_limit
2018-03-04 11:00:00+00:00,BTCUSD_1H,1H,rejected,119053.14,0.0,0.0,0.0,,exposure_limit
2018-03-04 12:00:00+00:00,BTCUSD_1H,1H,rejected,118949.05,0.0,0.0,0.0,,exposure_limit
2018-03-04 13:00:00+00:00,BTCUSD_1H,1H,rejected,118789.15,0.0,0.0,0.0,,exposure_limit
2018-03-04 14:00:00+00:00,BTCUSD_1H,1H,rejected,118966.31,0.0,0.0,0.0,,exposure_limit
2018-03-04 15:00:00+00:00,BTCUSD_1H,1H,rejected,119078.9,0.0,0.0,0.0,,exposure_limit
2018-03-04 16:00:00+00:00,BTCUSD_1H,1H,rejected,118728.95,0.0,0.0,0.0,,exposure_limit
2018-03-04 17:00:00+00:00,BTCUSD_1H,1H,rejected,117820.76,0.0,0.0,0.0,,exposure_limit
2018-03-04 18:00:00+00:00,BTCUSD_1H,1H,rejected,117453.24,0.0,0.0,0.0,,exposure_limit
2018-03-04 19:00:00+00:00,BTCUSD_1H,1H,rejected,117327.19,0.0,0.0,0.0,,exposure_limit
2018-03-04 20:00:00+00:00,BTCUSD_1H,1H,rejected,117415.96,0.0,0.0,0.0,,exposure_limit
2018-03-04 21:00:00+00:00,BTCUSD_1H,1H,rejected,117643.08,0.0,0.0,0.0,,exposure_limit
2018-03-04 22:00:00+00:00,BTCUSD_1H,1H,rejected,117223.94,0.0,0.0,0.0,,exposure_limit
2018-03-04 23:00:00+00:00,BTCUSD_1H,1H,rejected,116997.52,0.0,0.0,0.0,,exposure_limit
2018-03-05 00:00:00+00:00,BTCUSD_1H,1H,rejected,117348.01,0.0,0.0,0.0,,exposure_limit
2018-03-05 01:00:00+00:00,BTCUSD_1H,1H,rejected,117400.0,0.0,0.0,0.0,,exposure_limit
2018-03-05 02:00:00+00:00,BTCUSD_1H,1H,rejected,117792.66,0.0,0.0,0.0,,exposure_limit
2018-03-05 03:00:00+00:00,BTCUSD_1H,1H,rejected,117436.96,0.0,0.0,0.0,,exposure_limit
2018-03-05 04:00:00+00:00,BTCUSD_1H,1H,rejected,117832.99,0.0,0.0,0.0,,exposure_limit
2018-03-05 05:00:00+00:00,BTCUSD_1H,1H,rejected,117921.26,0.0,0.0,0.0,,exposure_limit
2018-03-05 06:00:00+00:00,BTCUSD_1H,1H,rejected,117600.01,0.0,0.0,0.0,,exposure_limit
2018-03-05 07:00:00+00:00,BTCUSD_1H,1H,rejected,117532.82,0.0,0.0,0.0,,exposure_limit
2018-03-05 08:00:00+00:00,BTCUSD_1H,1H,rejected,117919.49,0.0,0.0,0.0,,exposure_limit
2018-03-05 09:00:00+00:00,BTCUSD_1H,1H,rejected,117700.0,0.0,0.0,0.0,,exposure_limit
2018-03-05 10:00:00+00:00,BTCUSD_1H,1H,rejected,117488.05,0.0,0.0,0.0,,exposure_limit
2018-03-05 11:00:00+00:00,BTCUSD_1H,1H,rejected,117694.76,0.0,0.0,0.0,,exposure_limit
